"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPNZ ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v"
252,0,0,"FC",,,,0,,,FALSE,,,"cld",0,,,,"DF",,,,,
253,0,0,"FD",,,,0,,,FALSE,,,"std",0,,,,"DF",,,,,
254,0,0,"FE",,,"/0",0,,,FALSE,,,"inc",1,"r/m 8",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
254,0,0,"FE",,,"/1",0,,,FALSE,,,"dec",1,"r/m 8",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
255,0,0,"FF",,,"/0",0,,,TRUE,,,"inc",1,"r/m 16/32",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
255,0,0,"FF",,,"/1",0,,,TRUE,,,"dec",1,"r/m 16/32",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
255,0,0,"FF",,,"/2",0,,,TRUE,,,"call",1,"r/m 16/32",,,,,,"GP,SS,NP,TS,PF,AC","GP","GP,PF,AC"
255,0,0,"FF",,,"/3",0,,,TRUE,,,"call",1,"m 32/48",,,,,,"GP,SS,NP,TS,PF,AC","GP","GP,PF,AC"
255,0,0,"FF",,,"/4",0,,,TRUE,,,"jmp",1,"r/m 16/32",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
255,0,0,"FF",,,"/5",0,,,TRUE,,,"jmp",1,"m 32/48",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
255,0,0,"FF",,,"/6",0,,,TRUE,,,"push",1,"r/m 16/32",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
