"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPNZ ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v"
171,0,0,"AB",,,,0,,,TRUE,,,"stosw/stosd",0,,,,,,,,,
172,0,0,"AC",,,,0,,,FALSE,,,"lodsb",0,,,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
173,0,0,"AD",,,,0,,,TRUE,,,"lodsw/lodsd",0,,,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
174,0,0,"AE",,,,0,,,FALSE,,,"scasb",0,,,,"CF,OF,SF,ZF,AF,PF",,,"GP,PF,AC","GP,SS","GP,PF,AC"
175,0,0,"AF",,,,0,,,TRUE,,,"scasw/scasd",0,,,,"CF,OF,SF,ZF,AF,PF",,,"GP,PF,AC","GP,SS","GP,PF,AC"
176,0,0,"B0",,,,1,"imm 8",,FALSE,,,"mov",2,"al","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
177,0,0,"B1",,,,1,"imm 8",,FALSE,,,"mov",2,"cl","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
178,0,0,"B2",,,,1,"imm 8",,FALSE,,,"mov",2,"dl","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
179,0,0,"B3",,,,1,"imm 8",,FALSE,,,"mov",2,"bl","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
180,0,0,"B4",,,,1,"imm 8",,FALSE,,,"mov",2,"ah","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
181,0,0,"B5",,,,1,"imm 8",,FALSE,,,"mov",2,"ch","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
182,0,0,"B6",,,,1,"imm 8",,FALSE,,,"mov",2,"dh","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
183,0,0,"B7",,,,1,"imm 8",,FALSE,,,"mov",2,"bh","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
184,0,0,"B8",,,,1,"imm 16/32",,TRUE,,,"mov",2,"ax/eax","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
185,0,0,"B9",,,,1,"imm 16/32",,TRUE,,,"mov",2,"cx/ecx","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
186,0,0,"BA",,,,1,"imm 16/32",,TRUE,,,"mov",2,"dx/edx","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
187,0,0,"BB",,,,1,"imm 16/32",,TRUE,,,"mov",2,"bx/ebx","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
