"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v",
15,32,210,"0F",20,"D2",,0,,,FALSE,,,"mov",2,"edx","cr2",,,,,"GP","GP","GP",
15,32,211,"0F",20,"D3",,0,,,FALSE,,,"mov",2,"ebx","cr2",,,,,"GP","GP","GP",
15,32,212,"0F",20,"D4",,0,,,FALSE,,,"mov",2,"esp","cr2",,,,,"GP","GP","GP",
15,32,213,"0F",20,"D5",,0,,,FALSE,,,"mov",2,"ebp","cr2",,,,,"GP","GP","GP",
15,32,214,"0F",20,"D6",,0,,,FALSE,,,"mov",2,"esi","cr2",,,,,"GP","GP","GP",
15,32,215,"0F",20,"D7",,0,,,FALSE,,,"mov",2,"edi","cr2",,,,,"GP","GP","GP",
15,32,216,"0F",20,"D8",,0,,,FALSE,,,"mov",2,"eax","cr3",,,,,"GP","GP","GP",
15,32,217,"0F",20,"D9",,0,,,FALSE,,,"mov",2,"ecx","cr3",,,,,"GP","GP","GP",
15,32,218,"0F",20,"DA",,0,,,FALSE,,,"mov",2,"edx","cr3",,,,,"GP","GP","GP",
15,32,219,"0F",20,"DB",,0,,,FALSE,,,"mov",2,"ebx","cr3",,,,,"GP","GP","GP",
15,32,220,"0F",20,"DC",,0,,,FALSE,,,"mov",2,"esp","cr3",,,,,"GP","GP","GP",
15,32,221,"0F",20,"DD",,0,,,FALSE,,,"mov",2,"ebp","cr3",,,,,"GP","GP","GP",
15,32,222,"0F",20,"DE",,0,,,FALSE,,,"mov",2,"esi","cr3",,,,,"GP","GP","GP",
15,32,223,"0F",20,"DF",,0,,,FALSE,,,"mov",2,"edi","cr3",,,,,"GP","GP","GP",
15,32,224,"0F",20,"E0",,0,,,FALSE,,,"mov",2,"eax","cr4",,,,,"GP","GP","GP",
15,32,225,"0F",20,"E1",,0,,,FALSE,,,"mov",2,"ecx","cr4",,,,,"GP","GP","GP",
15,32,226,"0F",20,"E2",,0,,,FALSE,,,"mov",2,"edx","cr4",,,,,"GP","GP","GP",
15,32,227,"0F",20,"E3",,0,,,FALSE,,,"mov",2,"ebx","cr4",,,,,"GP","GP","GP",
15,32,228,"0F",20,"E4",,0,,,FALSE,,,"mov",2,"esp","cr4",,,,,"GP","GP","GP",
15,32,229,"0F",20,"E5",,0,,,FALSE,,,"mov",2,"ebp","cr4",,,,,"GP","GP","GP",
15,32,230,"0F",20,"E6",,0,,,FALSE,,,"mov",2,"esi","cr4",,,,,"GP","GP","GP",
15,32,231,"0F",20,"E7",,0,,,FALSE,,,"mov",2,"edi","cr4",,,,,"GP","GP","GP",
15,32,232,"0F",20,"E8",,0,,,FALSE,,,"mov",2,"eax","cr5",,,,,"GP","GP","GP",
15,32,233,"0F",20,"E9",,0,,,FALSE,,,"mov",2,"ecx","cr5",,,,,"GP","GP","GP",
